sep=,
DeviceTag:,15,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities,,,,,,,,,,,,,,,,,
StartTime:,2023-07-20 16:10:25.154 +0900,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
1996, 706696132, -1.5030196905136108, 3.122267246246338, 8.197314262390137, 54.17477798461914, 7.097782135009766, 3.3945183753967285
1997, 706712799, -1.403609037399292, 2.5905044078826904, 7.330206394195557, 45.61204528808594, -1.0177665948867798, 4.9486985206604
1998, 706729466, -1.4494491815567017, 2.871342420578003, 7.631962299346924, 20.4197940826416, -19.022342681884766, 10.338284492492676
1999, 706746133, -1.7332656383514404, 3.5404276847839355, 8.759471893310547, 12.373021125793457, -33.307167053222656, 12.963563919067383
2000, 706762800, -1.5339446067810059, 3.451136827468872, 9.185726165771484, 7.432621955871582, -22.334768295288086, 7.113667011260986
2001, 706779467, -1.3315407037734985, 3.1812965869903564, 8.752058982849121, 3.6098878383636475, -8.91474723815918, 6.526752471923828
2002, 706796134, -1.1875866651535034, 3.2518107891082764, 8.102964401245117, -5.306570053100586, -7.249716758728027, 7.204990863800049
2003, 706812801, -0.8179913759231567, 3.0307345390319824, 8.052183151245117, -15.268776893615723, -10.951006889343262, 3.7572665214538574
2004, 706829468, -1.1116617918014526, 3.3307833671569824, 8.451323509216309, -10.706391334533691, -18.53466033935547, 8.594191551208496
2005, 706846135, -1.37638258934021, 3.67254900932312, 9.112716674804688, -6.263206958770752, -16.07077980041504, 2.8011417388916016
2006, 706862802, -1.1581822633743286, 3.4978573322296143, 8.957362174987793, 0.6825849413871765, -7.589863300323486, -0.19032800197601318
2007, 706879469, -0.8700742125511169, 3.278446674346924, 8.880241394042969, 12.255594253540039, -3.2621121406555176, -1.746595025062561
2008, 706896136, -1.0549437999725342, 3.1471188068389893, 8.647226333618164, 3.6313235759735107, -0.043720874935388565, 0.3600953221321106
2009, 706912803, -0.9061223268508911, 3.2053306102752686, 8.497416496276855, -11.870660781860352, -0.028058728203177452, -0.2365078181028366
2010, 706929470, -0.8820862174034119, 2.913193702697754, 8.194168090820312, -21.963153839111328, -1.2446765899658203, -0.04334956035017967
2011, 706946137, -1.1425669193267822, 3.304929256439209, 8.49091625213623, -11.185111999511719, -7.180806636810303, 2.705439329147339
2012, 706962804, -1.3097330331802368, 3.3173165321350098, 8.761265754699707, -5.897222995758057, -6.993497848510742, -1.4288303852081299
2013, 706979471, -1.0516332387924194, 3.0223381519317627, 8.917192459106445, -4.0812296867370605, -0.32142654061317444, -0.9928249716758728
2014, 706996138, -0.9092520475387573, 3.005681276321411, 8.633362770080566, -10.558110237121582, 3.419930934906006, 2.569370746612549
2015, 707012805, -1.0860730409622192, 3.2684881687164307, 8.621464729309082, -6.008957386016846, 1.838550090789795, 1.9634629487991333
2016, 707029472, -0.9558344483375549, 3.050333023071289, 8.522232055664062, -4.999624729156494, 2.1502630710601807, -1.2897789478302002
2017, 707046139, -1.0245970487594604, 2.938819646835327, 8.486919403076172, -2.6990535259246826, 2.4760630130767822, -0.04401542246341705
2018, 707062806, -1.0959810018539429, 3.0100479125976562, 8.548266410827637, -7.311388969421387, -0.4331235885620117, 0.7226431965827942
2019, 707079473, -0.9892855882644653, 3.074655294418335, 8.639991760253906, -6.346712112426758, -2.567430019378662, 0.5740638375282288
2020, 707096140, -1.168795108795166, 3.0779075622558594, 8.734489440917969, -2.2040367126464844, -1.6971358060836792, -0.7699048519134521
2021, 707112807, -1.0738751888275146, 3.018915891647339, 8.670369148254395, -5.195127010345459, -1.1503432989120483, -0.587529718875885
2022, 707129474, -1.0164830684661865, 2.85217022895813, 8.508803367614746, -13.112442016601562, 0.09762925654649734, -0.6482449769973755
2023, 707146141, -1.0260214805603027, 2.780626058578491, 8.516043663024902, -19.578771591186523, -0.34683480858802795, 1.5892764329910278
2024, 707162808, -1.1261845827102661, 2.881556987762451, 8.624776840209961, -28.281612396240234, -1.9839398860931396, 3.0169477462768555
2025, 707179475, -0.9645707011222839, 3.152437686920166, 8.422407150268555, -9.654261589050293, -3.56418776512146, 3.4103128910064697
2026, 707196142, -1.0775396823883057, 3.06414794921875, 8.8420991897583, 14.233570098876953, -3.04860520362854, -4.700613021850586
2027, 707212809, -1.0056462287902832, 2.7120208740234375, 8.865732192993164, 9.083322525024414, -5.457248210906982, -3.4478161334991455
2028, 707229476, -1.0402754545211792, 2.922483444213867, 8.86315631866455, 3.590855360031128, -4.241527080535889, -2.4260730743408203
2029, 707246143, -1.0102009773254395, 3.029308795928955, 8.733028411865234, 17.479001998901367, -1.883111834526062, -3.2276647090911865
2030, 707262810, -0.9928823113441467, 2.912867546081543, 8.746369361877441, 20.98136329650879, 0.534339427947998, -5.766542434692383
2031, 707279477, -0.8964781165122986, 2.654803514480591, 8.51853084564209, 7.10777473449707, 2.02405047416687, -3.0390117168426514
2032, 707296144, -0.9795393347740173, 2.7770025730133057, 8.422513008117676, -10.848493576049805, -0.20387716591358185, 2.1556360721588135
2033, 707312811, -1.1603314876556396, 3.1241307258605957, 8.584661483764648, -12.825182914733887, -2.8435111045837402, 3.0166337490081787
2034, 707329478, -1.0810811519622803, 3.1505463123321533, 8.76025390625, -2.638031482696533, -2.9677183628082275, -0.24903233349323273
2035, 707346145, -0.9168797731399536, 3.0546627044677734, 8.771564483642578, 13.214926719665527, -2.6404407024383545, -1.8777451515197754
2036, 707362812, -0.8772437572479248, 2.8400957584381104, 8.767369270324707, 11.456007957458496, 1.1862077713012695, -3.6841702461242676
2037, 707379479, -0.9468515515327454, 2.8466174602508545, 8.595090866088867, 3.2714650630950928, 0.9088345766067505, -0.28218790888786316
2038, 707396146, -1.0859053134918213, 2.9332706928253174, 8.462268829345703, -3.7792952060699463, 0.5711824893951416, 1.28275465965271
2039, 707412813, -1.2665070295333862, 3.099174976348877, 8.511484146118164, 1.2251067161560059, 0.48313236236572266, 1.9514572620391846
2040, 707429480, -1.0685428380966187, 3.247530698776245, 8.394819259643555, 6.5125627517700195, 6.910968780517578, -7.016511917114258
2041, 707446147, -0.9870250821113586, 3.091726303100586, 8.49619197845459, 25.237892150878906, 0.729445219039917, -10.850029945373535
2042, 707462814, -0.680783748626709, 2.5701191425323486, 8.662775039672852, 12.63688850402832, -3.2543141841888428, -9.008750915527344
2043, 707479481, -0.8534741401672363, 2.6335270404815674, 8.885588645935059, -7.5309929847717285, -5.166172027587891, 1.3842450380325317
2044, 707496148, -1.1729397773742676, 3.260059356689453, 8.774436950683594, -16.4429874420166, -3.6142630577087402, 5.412807941436768
2045, 707512815, -1.197656512260437, 3.2629594802856445, 8.740299224853516, -11.445732116699219, -0.8344493508338928, 1.1723321676254272
2046, 707529482, -1.0162039995193481, 2.9042043685913086, 8.686189651489258, -8.960861206054688, 4.267518997192383, 1.2869937419891357
2047, 707546149, -0.8991885185241699, 2.854504346847534, 8.43542194366455, -13.5659818649292, 3.69941782951355, 3.0234084129333496
2048, 707562816, -0.8845839500427246, 2.847574234008789, 8.515473365783691, -16.02785301208496, -0.28392988443374634, 3.062999963760376
